ID,i
673312,283
673615,664
673948,1364
674119,1195
674574,1173
674702,134
674827,1296
674831,1355
674969,241
675142,778
675245,385
675269,1377
675466,1193
675643,2240
675793,3844
676097,1361
676685,3916
677597,3931
677692,3943
677768,2547
678075,3827
678533,1257
678542,2123
678793,239
679413,1430
679509,298
679535,1366
679639,1359
679945,133
680508,466
680643,1712
680726,1710
680964,2242
681237,1701
681303,228
681339,2228
681549,1210
682886,666
683219,1196
683647,3142
684158,585
684508,225
684775,1706
684786,1179
684981,1259
685399,1289
686187,1518
687071,1612
687085,3845
687136,2130
687415,1212
687898,1525
687903,1714
688136,1348
688457,3930
688531,1211
688717,3912
688836,588
689230,3927
689768,2243
690548,2239
691126,1709
691252,1268
691398,1168
691521,519
691809,1691
691906,2230
692020,3832
692136,2231
692317,1177
692398,1698
692485,3944
692655,2229
692669,1197
692714,1294
693350,1188
693397,1717
693513,2227
694069,2226
694697,3924
694934,392
695445,3846
695834,240
696146,210
696590,3923
696891,1185
697034,1639
697517,223
697594,1102
697623,3834
698041,476
698328,474
698425,1255
698738,3928
698983,1629
699088,3929
699272,237
699371,1295
699815,2131
699926,1360
700043,780
700757,1480
700777,3716
701418,1711
702876,2124
703122,1693
703280,1496
703326,779
703515,783
703733,1354
703853,1640
704055,471
704286,1
704289,1476
704469,1720
704571,231
704782,1184
704811,1192
704900,396
705406,1546
705464,1708
705530,1478
706363,2232
706553,469
706615,1260
706740,2913
707186,1487
707445,213
707614,3460
707749,3833
708170,230
708952,1107
709137,3841
709438,470
709638,2224
709713,1263
710099,242
710279,3903
710434,2249
711692,1292
711809,1351
711839,2585
712337,1551
712578,3919
713028,1539
713100,3830
713253,1721
713709,217
713765,3901
714401,1715
714836,1699
714907,1658
715418,3902
715706,1630
715741,2541
716342,1520
716954,1356
717390,234
717734,335
717817,1270
717885,1419
718980,3897
719096,1293
719155,3836
719297,2244
719419,302
719811,1352
720289,2225
720397,1732
720578,22
720608,1692
721349,12
722533,3826
722987,1645
723434,314
724318,1261
724707,1262
725012,1256
725161,3838
725399,1431
725624,485
725642,684
725672,1494
725685,473
725867,1490
726690,591
726941,2125
726986,1680
727003,1265
727103,285
727201,3898
728413,3899
728798,3905
728847,1553
729034,477
729507,1716
729517,1649
729547,1493
729557,3567
729570,1169
730099,2245
731099,2235
732095,3586
732469,1266
732481,2007
732720,3904
733581,1417
733583,2237
733707,1713
733937,2277
734261,1271
734723,1415
734769,1581
734950,1688
735335,1413
735815,3932
736286,3900
736288,1637
736295,1543
736642,2276
737008,484
737222,1267
737473,1420
738308,1409
739087,3720
739170,1545
739556,569
739711,41
740584,1281
741487,1273
741600,2223
743261,1471
743690,1414
746652,1283
746810,693
747029,1286
747680,2915
747724,1669
747781,3520
747883,1511
748454,1277
749280,2316
750623,2383
751137,1408
751163,580
751307,2943
751736,1694
752522,272
752983,1521
753049,205
754140,1272
754369,2320
754797,2916
754803,2542
754804,2914
755135,2688
