# ID,Lx_corr,log_Lx_int,log_Lx_obs,group
478302,0.964179,43.874844,43.859001,BLU
478411,0.587000,43.417363,43.186001,BLU
478515,1.000000,43.458000,43.458000,BLU
478776,0.634095,44.524845,44.327000,BLU
478944,1.000000,43.969002,43.969002,BLU
480904,0.506005,43.374844,43.078999,BLU
481359,0.494000,43.182273,42.875999,BLU
481762,0.650363,44.004845,43.818001,BLU
482216,0.931439,44.204846,44.174000,BLU
482220,0.556108,43.584843,43.330002,BLU
483016,1.000000,43.188000,43.188000,BLU
483133,0.660931,44.184845,44.005001,BLU
483395,0.794000,43.153181,43.053001,BLU
483880,0.466000,43.890612,43.558998,BLU
484830,0.476000,43.197393,42.875000,BLU
484953,0.310568,44.254845,43.747002,BLU
486067,0.818756,44.364845,44.278000,BLU
486110,0.642000,43.501463,43.308998,BLU
486183,0.679000,43.715131,43.547001,BLU
486302,0.703000,43.377044,43.223999,BLU
486971,0.006701,43.854843,41.681000,BLU
487345,1.000000,43.478001,43.478001,BLU
487555,0.826335,43.824844,43.742001,BLU
487714,0.835905,43.964844,43.887001,BLU
487826,0.177481,43.454846,42.703999,BLU
488464,0.572000,43.411603,43.168999,BLU
488484,0.663000,43.102486,42.924000,BLU
489434,0.466000,44.095614,43.764000,BLU
489491,0.284548,44.454846,43.909000,BLU
491067,0.723026,44.414845,44.273998,BLU
493877,0.673218,44.414845,44.243000,BLU
493981,0.300716,43.594845,43.073002,BLU
494175,0.141304,45.004845,44.154999,BLU
495303,0.767635,44.124844,44.009998,BLU
495819,0.365726,44.254845,43.818001,BLU
495826,0.241633,43.534844,42.917999,BLU
495949,0.235589,44.074844,43.446999,BLU
495977,0.701709,44.414845,44.261002,BLU
496984,0.597246,44.544846,44.320999,BLU
497789,0.250702,43.634842,43.034000,BLU
498062,1.040300,43.514843,43.532001,BLU
498248,0.471000,43.680979,43.354000,BLU
498981,0.220881,43.154842,42.499001,BLU
500685,0.208522,44.114845,43.433998,BLU
501080,0.504842,43.864845,43.568001,BLU
501652,0.126811,43.644844,42.748001,BLU
501683,0.638000,43.704178,43.508999,BLU
503405,0.383000,43.716800,43.299999,BLU
503825,0.566446,43.404842,43.158001,BLU
503898,0.454107,44.634842,44.292000,BLU
504794,0.664000,43.536833,43.359001,BLU
505140,0.244994,44.274845,43.664001,BLU
505243,0.826335,43.574844,43.492001,BLU
506105,0.342891,43.854843,43.389999,BLU
507746,0.259512,43.514843,42.929001,BLU
507958,0.497000,43.188642,42.884998,BLU
508074,0.796448,43.624844,43.526001,BLU
508095,1.000000,43.362000,43.362000,BLU
510520,0.615400,44.314842,44.104000,BLU
510870,0.508344,43.854843,43.561001,BLU
510949,0.714754,44.174843,44.028999,BLU
511201,0.674775,44.084843,43.914001,BLU
511633,0.221390,44.154842,43.500000,BLU
511933,0.507000,43.298994,43.004002,BLU
511953,0.988907,43.104843,43.099998,BLU
512031,0.084170,44.494843,43.419998,BLU
512727,0.010166,45.344845,43.352001,BLU
513139,1.000000,43.171001,43.171001,BLU
513787,0.283241,43.694843,43.146999,BLU
514657,1.205473,43.304844,43.386002,BLU
515652,1.000000,43.523998,43.523998,BLU
515989,0.485000,43.695259,43.381001,BLU
516335,0.818756,43.864845,43.778000,BLU
516624,0.211425,43.764843,43.090000,BLU
516767,0.792783,44.234844,44.133999,BLU
516894,0.665000,43.364179,43.187000,BLU
517100,0.946573,44.294846,44.271000,BLU
517775,0.822540,44.334843,44.250000,BLU
517903,0.450000,44.022786,43.675999,BLU
518166,0.851438,43.544846,43.474998,BLU
519096,0.800122,44.064842,43.967999,BLU
