ID,GROUP,Z,LOG_LIR,LOG_LX_INT,LOG_LX,LOG_LXLIM,LOG_LXIR_THEORY,LOG_NH_THEORY,SIG_POS_THEORY,SIG_NEG_THEORY,LOG_LXIR_INTRIN,LOG_NH_INTRIN,SIG_POS_INTRIN,SIG_NEG_INTRIN
      709638,BLU,  2.37700, 44.76805, 43.98864, 43.68500,      NaN, 44.40516, 23.38876,  0.37503,  0.26398, 43.98864, 22.45120,  1.35004,  0.40226
      709438,BLU,  0.98200, 43.42719, 43.47484, 43.13400,      NaN, 43.27884, 21.68905,  3.96686,  0.34136, 43.47484, 22.57982,  1.19773,  0.39506
      710279,BLU,  0.93800, 43.64099, 43.30484, 43.06500,      NaN, 43.45843, 22.74690,  0.93745,  0.38870, 43.30484, 22.18169,  2.15452,  0.40159
      710099,BLU,  1.28000, 42.93904, 43.81484, 43.56900,      NaN, 42.86879, 21.00000,  0.00000,  0.00000, 43.81484, 22.21089,  1.84517,  0.40573
      711439,BLU,  0.85400, 43.94722, 43.89484, 43.84700,      NaN, 43.71567, 21.00000,  0.72013,  0.00000, 43.89484, 21.20915,  5.21801,  0.17400
      710434,BLU,  0.85300, 43.50769, 44.01484, 42.85900,      NaN, 43.34646, 22.98114,  0.66308,  0.35193, 44.01484, 23.83996,  0.21689,  0.16516
      711839,BLU,  1.67700, 44.54803, 43.49126, 43.24100,      NaN, 44.22034, 23.68893,  0.24557,  0.19212, 43.49126, 22.23243,  1.90065,  0.40200
      712337,BLU,  1.79700, 44.32231, 43.89484, 43.47800,      NaN, 44.03074, 23.11160,  0.58337,  0.32860, 43.89484, 22.80572,  0.83747,  0.37560
      712578,BLU,  1.15600, 43.95764, 43.24820, 42.98300,      NaN, 43.72442, 23.41951,  0.35024,  0.25781, 43.24820, 22.29579,  1.91897,  0.40098
      712422,BLU,  1.85200, 44.89538, 44.38484, 44.22800,      NaN, 44.46815, 22.18318,  1.98734,  0.40419, 44.38484, 21.75185,  3.95585,  0.35407
      713028,BLU,  1.26800, 43.80933, 43.66362, 43.31100,      NaN, 43.59984, 22.39134,  1.50865,  0.40269, 43.66362, 22.61723,  1.10614,  0.39579
      713100,BLU,  1.25800, 43.76406, 43.31220, 43.19700,      NaN, 43.56181, 22.65596,  1.05264,  0.39304, 43.31220, 21.53418,  4.63089,  0.30280
      712916,BLU,  2.35300, 44.50933, 44.77485, 44.39100,      NaN, 44.18783, 21.00000,  0.12210,  0.00000, 44.77485, 22.71643,  0.98705,  0.38631
      713948,BLU,  2.76500, 45.09160, 44.07900, 44.07900,      NaN, 44.54664, 22.93190,  0.71564,  0.35661, 44.07900, 21.00000,  5.23848,  0.01674
      713668,BLU,  2.85700, 45.06394, 43.83300, 43.83300,      NaN, 44.53557, 23.36331,  0.37678,  0.27091, 43.83300, 21.00000,  5.41293,  0.00122
      713709,BLU,  3.10800, 45.29603, 44.78484, 44.71400,      NaN, 44.62841, 21.00000,  1.66570,  0.00000, 44.78484, 21.31632,  5.51779,  0.23172
      713765,BLU,  1.24800, 42.99124, 43.24485, 43.02300,      NaN, 42.91264, 21.00000,  1.29395,  0.00000, 43.24485, 22.09405,  2.60338,  0.39524
