ID,GROUP,Z,LOG_LIR,LOG_LX_INT,LOG_LX,LOG_LXLIM,LOG_LXIR_THEORY,LOG_NH_THEORY,SIG_POS_THEORY,SIG_NEG_THEORY,LOG_LXIR_INTRIN,LOG_NH_INTRIN,SIG_POS_INTRIN,SIG_NEG_INTRIN,LOG_NH_COSMOS
975463,BLU,2.27,44.57465,44.34484,44.112,nan,44.2427,21.61517,4.03479,0.33016,44.34484,22.1476,2.13434,0.40288,22.565847820733516
976376,RED,2.3529,46.06022,nan,nan,43.23762,44.93409,24.23914,0.36713,0.14083,44.93409,24.23914,0.35009,0.13809,nan
976485,GRN,2.55,45.52948,45.02485,44.907,nan,44.72179,21.0,0.24247,0.0,45.02485,21.54797,4.73058,0.30417,22.49831079873268
977204,RED,2.683,45.18602,nan,nan,43.42662,44.58441,23.84145,0.22224,0.16529,44.58441,23.84145,0.21665,0.16575,nan
977224,BLU,1.73,43.07662,44.3381,44.212,nan,42.98436,21.0,0.0,0.0,44.3381,21.59111,4.46448,0.31704,22.587711055454804
977238,BLU,1.487,43.86898,43.117,43.117,nan,43.64995,23.07331,0.58013,0.33053,43.117,21.0,5.81058,0.0,24.070362973710093
977394,RED,1.9349,44.85303,nan,nan,43.08315,44.45121,24.00222,0.20742,0.14255,44.45121,24.00222,0.21142,0.14479,nan
977626,BLU,1.199,44.12997,43.20566,43.112,nan,43.86917,23.44231,0.34725,0.25599,43.20566,21.42715,4.85921,0.27054,22.32633584945076
977680,BLU,1.998,44.52289,45.04485,43.87,nan,44.19923,22.54293,1.29237,0.39751,45.04485,23.85451,0.22112,0.16425,23.73639648187747
978031,BLU,2.269,44.60056,43.87116,43.588,nan,44.26447,23.32553,0.40527,0.27899,43.87116,22.3684,1.59006,0.40068,22.88705435167513
978444,GRN,1.575,45.00159,43.78069,43.635,nan,44.51063,23.58145,0.28421,0.2187,43.78069,21.69352,3.70875,0.34895,22.848804698067905
979202,BLU,3.03,44.67729,44.144,44.144,nan,44.32892,21.90436,3.01105,0.37932,44.144,21.0,5.31165,0.0,22.550595190259763
979253,BLU,0.667,43.41602,43.21484,42.823,nan,43.26946,22.87927,0.77343,0.36762,43.21484,22.74183,0.94984,0.3895,23.096910019022353
979356,BLU,1.76,44.39989,43.51966,43.38,nan,44.09591,23.3826,0.38112,0.26723,43.51966,21.662,3.87798,0.34457,22.56021758837887
979372,BLU,1.407,43.58803,43.52251,43.317,nan,43.41394,21.44305,4.86581,0.27874,43.52251,22.0145,2.50352,0.39315,nan
979382,RED,0.4952,42.96828,nan,nan,41.4968,42.89335,24.02277,0.19596,0.14919,42.89335,24.02277,0.19947,0.14822,nan
979571,BLU,1.529,44.41209,43.99484,43.805,nan,44.10615,22.44112,1.48,0.403,43.99484,21.93107,2.75578,0.38344,22.256477220447948
979733,GRN,2.407,45.13564,43.544,43.544,nan,44.56426,23.73133,0.22739,0.18631,43.544,21.0,5.65977,0.0,nan
980284,BLU,0.92,44.08453,43.81484,43.721,nan,43.83101,21.50701,4.47383,0.29844,43.81484,21.42801,4.88094,0.27417,nan
980641,BLU,3.609,45.00609,44.69,44.69,nan,44.51244,21.0,0.33153,0.0,44.69,21.0,5.49473,0.0,nan
980722,BLU,2.147,42.38761,43.739,43.739,nan,42.40559,21.0,0.0,0.0,43.739,21.0,5.29745,0.01331,22.79126946925325
981441,BLU,1.325,43.79073,44.11485,43.827,nan,43.58421,21.0,0.0,0.0,44.11485,22.38734,1.59566,0.40265,22.843856559621468
981552,GRN,1.957,44.63192,44.23484,44.036,nan,44.29081,22.25379,1.85142,0.40447,44.23484,21.97996,2.51957,0.39061,22.835500325033127
982004,GRN,2.414,45.32734,44.48484,44.3,nan,44.64093,22.58011,1.13069,0.39641,44.48484,21.90393,2.90916,0.3812,22.57403154495846
982199,RED,1.1409,44.07025,nan,nan,41.75842,43.81901,24.74611,0.34982,0.24539,43.81901,24.74611,0.33105,0.24684,nan
982563,BLU,2.902,44.96631,44.52485,44.341,nan,44.49652,21.74488,3.5931,0.35523,44.52485,21.8985,2.89436,0.38039,22.421406472831862
982990,GRN,1.065,45.49331,44.68485,44.604,nan,44.70732,21.47406,4.83654,0.28927,44.68485,21.36489,4.97178,0.25914,21.579785720441357
983135,BLU,1.481,44.11751,43.95485,43.765,nan,43.8587,21.42734,4.79542,0.27766,43.95485,21.93109,2.8294,0.38573,22.146128005089476
983360,BLU,1.921,44.13506,44.35484,44.218,nan,43.87345,21.0,0.0,0.0,44.35484,21.64727,3.72628,0.34262,22.636488194784178
983575,BLU,1.996,44.9224,44.09484,43.972,nan,44.47896,23.02303,0.62339,0.34642,44.09484,21.57411,4.47735,0.31648,22.974971979692658
983801,BLU,2.16,44.50575,43.87418,43.744,nan,44.18483,22.86531,0.8015,0.36837,43.87418,21.61245,4.39885,0.32465,nan
984181,GRN,1.041,44.50912,44.49484,44.637,nan,44.18766,21.0,0.0,0.0,44.49484,21.0,0.67179,0.0,21.890532780734652
984339,BLU,4.12,45.27778,44.177,44.177,nan,44.62111,22.87346,0.75884,0.36219,44.177,21.0,5.0632,0.00187,23.979092907834776
984811,BLU,2.329,44.29287,44.29564,43.944,nan,44.00601,21.27343,5.39848,0.2065,44.29564,22.61412,1.12901,0.39501,24.45824341784805
985892,GRN,1.419,44.46274,43.88633,43.604,nan,44.1487,23.09606,0.59513,0.32701,43.88633,22.36504,1.60682,0.40085,23.423245871684706
